city_name,city_url
凉山,/liangshan/
上海,/shanghai/
太原,/taiyuan/
大同,/datong/
阳泉,/yangquan/
长治,/zhangzhi/
晋城,/jincheng/
朔州,/shuozhou/
晋中,/jinzhong/
运城,/yuncheng/
忻州,/xinzhou/
临汾,/linfen/
吕梁,/lvliang/
济南,/jinan/
青岛,/qingdao/
淄博,/zibo/
枣庄,/zaozhuang/
东营,/dongying/
烟台,/yantai/
潍坊,/weifang/
济宁,/jining/
泰安,/taian/
威海,/weihai/
日照,/rizhao/
莱芜,/laiwu/
临沂,/linyi/
德州,/dezhou/
聊城,/liaocheng/
滨州,/binzhou/
菏泽,/heze/
天津,/tianjin/
乌鲁木齐,/wulumuqi/
克拉玛依,/kelamayi/
吐鲁番,/turpan/
哈密,/hami/
昌吉,/changji/
博尔塔拉,/boertala/
巴音郭楞,/bayinguoleng/
阿克苏,/akesu/
克孜勒苏,/kezilesu/
喀什,/kashen/
和田,/hetian/
伊犁,/yili/
塔城,/tacheng/
阿勒泰,/aletai/
石河子,/shihezi/
阿拉尔,/aral/
图木舒克,/tumxuk/
五家渠,/wujiaqu/
北屯,/beitun/
铁门关,/tiemenguan/
双河,/shuanghe/
可克达拉,/kokdala/
昆玉,/kunyu/
拉萨,/lasa/
日喀则,/rikaze/
昌都,/qamdo/
林芝,/nyingchi/
山南,/shannan/
那曲,/naqu/
阿里,/ali/
昆明,/kunming/
曲靖,/qujing/
玉溪,/yuxi/
保山,/baoshan/
昭通,/zhaotong/
丽江,/lijiang/
普洱,/puer/
临沧,/lincang/
楚雄,/chuxiong/
红河,/honghe/
文山,/wenshan/
西双版纳,/xishuangbanna/
大理,/dali/
德宏,/dehong/
怒江,/nujiang/
迪庆,/diqing/
杭州,/hangzhou/
宁波,/ningbo/
温州,/wenzhou/
嘉兴,/jiaxing/
湖州,/huzhou/
绍兴,/shaoxing/
金华,/jinhua/
衢州,/quzhou/
舟山,/zhoushan/
台州,/taizhou/
丽水,/lishui/
舟山群岛新区,/zhoushanxinqu/
