95_Fuel,year,month
0.0,2016.0,4
7072.9,2016.0,4
7191.2,2016.0,5
0.0,2016.0,5
7319.9,2016.0,5
0.0,2016.0,5
7423.4,2016.0,5
0.0,2016.0,6
7488.0,2016.0,6
7441.3,2016.0,6
7416.9,2016.0,6
7404.4,2016.0,7
7381.2,2016.0,7
0.0,2016.0,7
7317.8,2016.0,7
0.0,2016.0,8
7186.1,2016.0,8
0.0,2016.0,8
7139.3,2016.0,8
7319.4,2016.0,8
0.0,2016.0,9
7480.6,2016.0,9
0.0,2016.0,9
7498.1,2016.0,9
7428.1,2016.0,9
7440.7,2016.0,10
7534.0,2016.0,10
7842.2,2016.0,10
7795.3,2016.0,11
0.0,2016.0,11
7606.7,2016.0,11
7360.4,2016.0,11
0.0,2016.0,12
7526.6,2016.0,12
0.0,2016.0,12
7694.6,2016.0,12
0.0,2016.0,12
7807.0,2016.0,12
7085.0,2017.0,1
0.0,2017.0,1
7082.7,2017.0,1
0.0,2017.0,1
7131.8,2017.0,2
0.0,2017.0,2
7099.2,2017.0,2
7063.2,2017.0,2
7024.9,2017.0,3
0.0,2017.0,3
6904.5,2017.0,3
0.0,2017.0,3
6813.7,2017.0,3
6811.8,2017.0,4
0.0,2017.0,4
7035.6,2017.0,4
7027.9,2017.0,4
6958.6,2017.0,5
0.0,2017.0,5
6868.5,2017.0,5
0.0,2017.0,5
6860.8,2017.0,5
6820.1,2017.0,6
6652.4,2017.0,6
0.0,2017.0,6
6472.5,2017.0,6
6443.8,2017.0,7
6430.0,2017.0,7
0.0,2017.0,7
6435.1,2017.0,7
0.0,2017.0,8
6525.9,2017.0,8
6646.8,2017.0,8
6598.5,2017.0,8
6618.8,2017.0,9
0.0,2017.0,9
6689.9,2017.0,9
6774.7,2017.0,9
6820.5,2017.0,10
6805.7,2017.0,10
6803.7,2017.0,10
0.0,2017.0,11
7034.6,2017.0,11
0.0,2017.0,11
7211.5,2017.0,11
7305.1,2017.0,11
7289.5,2017.0,12
7237.9,2017.0,12
0.0,2017.0,12
7247.6,2017.0,12
7320.6,2018.0,1
0.0,2018.0,1
7907.7,2018.0,1
0.0,2018.0,1
8005.8,2018.0,1
7949.4,2018.0,2
7966.4,2018.0,2
0.0,2018.0,3
7895.2,2018.0,3
7786.2,2018.0,3
0.0,2018.0,3
7772.4,2018.0,3
7761.5,2018.0,4
0.0,2018.0,4
7831.3,2018.0,4
0.0,2018.0,4
7899.8,2018.0,4
0.0,2018.0,5
7987.3,2018.0,5
0.0,2018.0,5
8119.3,2018.0,5
0.0,2018.0,5
8202.2,2018.0,5
0.0,2018.0,6
8133.8,2018.0,6
8077.6,2018.0,6
0.0,2018.0,6
8094.1,2018.0,6
8144.8,2018.0,7
8224.8,2018.0,7
0.0,2018.0,7
8338.5,2018.0,7
0.0,2018.0,8
8587.9,2018.0,8
8772.6,2018.0,8
0.0,2018.0,8
8837.2,2018.0,8
0.0,2018.0,9
9192.5,2018.0,9
0.0,2018.0,9
9435.3,2018.0,9
9519.1,2018.0,9
0.0,2018.0,10
9604.7,2018.0,10
9520.4,2018.0,10
9297.5,2018.0,10
0.0,2018.0,11
8741.6,2018.0,11
0.0,2018.0,11
8202.2,2018.0,11
7689.4,2018.0,11
0.0,2018.0,12
7468.1,2018.0,12
0.0,2018.0,12
7448.6,2018.0,12
0.0,2018.0,12
7287.5,2018.0,12
7235.5,2019.0,1
0.0,2019.0,1
7339.7,2019.0,1
0.0,2019.0,1
7338.5,2019.0,1
0.0,2019.0,2
7380.3,2019.0,2
7420.4,2019.0,2
0.0,2019.0,3
7413.8,2019.0,3
7352.9,2019.0,3
0.0,2019.0,3
7353.8,2019.0,3
0.0,2019.0,4
7318.9,2019.0,4
0.0,2019.0,4
7336.4,2019.0,4
0.0,2019.0,4
7349.0,2019.0,4
7278.8,2019.0,5
0.0,2019.0,5
7171.7,2019.0,5
0.0,2019.0,5
7082.3,2019.0,5
6773.3,2019.0,6
0.0,2019.0,6
6505.0,2019.0,6
0.0,2019.0,6
6489.8,2019.0,6
6548.5,2019.0,7
6836.4,2019.0,7
6923.6,2019.0,7
0.0,2019.0,8
6995.5,2019.0,8
7063.5,2019.0,8
0.0,2019.0,8
7109.0,2019.0,8
0.0,2019.0,9
7274.4,2019.0,9
0.0,2019.0,9
7759.1,2019.0,9
7855.7,2019.0,9
7558.8,2019.0,10
7366.0,2019.0,10
0.0,2019.0,10
7073.0,2019.0,10
0.0,2019.0,11
6957.6,2019.0,11
0.0,2019.0,11
6925.7,2019.0,11
6990.8,2019.0,11
0.0,2019.0,12
7151.7,2019.0,12
7244.5,2019.0,12
7166.4,2019.0,12
7149.3,2020.0,1
7115.8,2020.0,1
7158.6,2020.0,1
0.0,2020.0,2
6851.1,2020.0,2
0.0,2020.0,2
6598.0,2020.0,2
6500.2,2020.0,2
6379.0,2020.0,3
0.0,2020.0,3
5926.9,2020.0,3
5543.5,2020.0,3
5446.6,2020.0,4
